Geographic Area,Year,Private Insured
Arkansas,2002,1653000
California,2002,23094000
Colorado,2002,3262000
Connecticut,2002,2638000
Delaware,2002,615000
District of Columbia,2002,376000
Florida,2002,10808000
Georgia,2002,5963000
Hawaii,2002,903000
Idaho,2002,913000
Illinois,2002,9168000
Indiana,2002,4684000
Iowa,2002,2336000
Kansas,2002,2105000
Kentucky,2002,2856000
Louisiana,2002,2734000
Maine,2002,892000
Maryland,2002,4266000
Massachusetts,2002,4803000
Michigan,2002,7589000
Minnesota,2002,4181000
Mississippi,2002,1727000
Missouri,2002,4283000
Montana,2002,626000
Nebraska,2002,1326000
Nevada,2002,1473000
New Hampshire,2002,1022000
New Jersey,2002,6430000
New Mexico,2002,1059000
New York,2002,12765000
North Carolina,2002,5435000
North Dakota,2002,488000
Ohio,2002,8756000
Oklahoma,2002,2292000
Oregon,2002,2494000
Pennsylvania,2002,9433000
Rhode Island,2002,768000
South Carolina,2002,2723000
South Dakota,2002,576000
Tennessee,2002,3908000
Texas,2002,12827000
Utah,2002,1762000
Vermont,2002,440000
Virginia,2002,5276000
Washington,2002,4228000
West Virginia,2002,1112000
Wisconsin,2002,4322000
Wyoming,2002,339000
United States,2001,201695000
Alabama,2001,3132000
Alaska,2001,422000
Arizona,2001,3589000
Arkansas,2001,1698000
California,2001,22113000
Colorado,2001,3290000
Connecticut,2001,2707000
Delaware,2001,632000
District of Columbia,2001,380000
Florida,2001,10828000
Georgia,2001,5787000
Hawaii,2001,895000
Idaho,2001,938000
Illinois,2001,9147000
Indiana,2001,4770000
Iowa,2001,2445000
Kansas,2001,2017000
Kentucky,2001,2850000
Louisiana,2001,2810000
Maine,2001,918000
Maryland,2001,4247000
Massachusetts,2001,4761000
Michigan,2001,7812000
Minnesota,2001,4149000
Mississippi,2001,1707000
Missouri,2001,4274000
Montana,2001,634000
Nebraska,2001,1328000
Nevada,2001,1573000
New Hampshire,2001,1024000
New Jersey,2001,6430000
New Mexico,2001,1033000
New York,2001,12650000
North Carolina,2001,5625000
North Dakota,2001,479000
Ohio,2001,8688000
Oklahoma,2001,2253000
Oregon,2001,2532000
Pennsylvania,2001,9679000
Rhode Island,2001,799000
South Carolina,2001,2933000
South Dakota,2001,598000
Tennessee,2001,3953000
Texas,2001,13344000
Utah,2001,1728000
Vermont,2001,449000
Virginia,2001,5368000
Washington,2001,4404000
West Virginia,2001,1166000
Wisconsin,2001,4360000
Wyoming,2001,348000
United States,2000,202794000
Alabama,2000,3157000
Alaska,2000,408000
Arizona,2000,3517000
Arkansas,2000,1780000
California,2000,22163000
Colorado,2000,3265000
Connecticut,2000,2695000
Delaware,2000,615000
District of Columbia,2000,376000
Florida,2000,10776000
Georgia,2000,5859000
Hawaii,2000,928000
Idaho,2000,963000
Illinois,2000,9329000
Indiana,2000,4824000
Iowa,2000,2424000
Kansas,2000,2078000
Kentucky,2000,2833000
Louisiana,2000,2821000
Maine,2000,919000
Maryland,2000,4309000
Massachusetts,2000,4754000
Michigan,2000,7948000
Minnesota,2000,4139000
Mississippi,2000,1939000
Missouri,2000,4408000
Montana,2000,612000
Nebraska,2000,1324000
Nevada,2000,1477000
New Hampshire,2000,1005000
New Jersey,2000,6586000
New Mexico,2000,1027000
New York,2000,12592000
North Carolina,2000,5755000
North Dakota,2000,493000
Ohio,2000,8798000
Oklahoma,2000,2183000
Oregon,2000,2577000
Pennsylvania,2000,9800000
Rhode Island,2000,790000
South Carolina,2000,2861000
South Dakota,2000,587000
Tennessee,2000,3916000
Texas,2000,13388000
Utah,2000,1780000
Vermont,2000,440000
Virginia,2000,5289000
Washington,2000,4308000
West Virginia,2000,1222000
Wisconsin,2000,4407000
Wyoming,2000,347000
United States,1999,200721000
Alabama,1999,3146000
Alaska,1999,425000
Arizona,1999,3334000
Arkansas,1999,1833000
California,1999,21933000
Colorado,1999,3188000
Connecticut,1999,2811000
Delaware,1999,584000
District of Columbia,1999,358000
Florida,1999,10330000
Georgia,1999,5504000
Hawaii,1999,948000
Idaho,1999,912000
Illinois,1999,9412000
Indiana,1999,4873000
Iowa,1999,2411000
Kansas,1999,2052000
Kentucky,1999,2796000
Louisiana,1999,2705000
Maine,1999,962000
Maryland,1999,4100000
Massachusetts,1999,4593000
Michigan,1999,7989000
Minnesota,1999,4106000
Mississippi,1999,1878000
Missouri,1999,4550000
Montana,1999,630000
Nebraska,1999,1353000
Nevada,1999,1455000
New Hampshire,1999,1021000
New Jersey,1999,6429000
New Mexico,1999,1067000
New York,1999,12657000
North Carolina,1999,5669000
North Dakota,1999,481000
Ohio,1999,8847000
Oklahoma,1999,2365000
Oregon,1999,2576000
Pennsylvania,1999,9570000
Rhode Island,1999,842000
South Carolina,1999,2766000
South Dakota,1999,571000
Tennessee,1999,4050000
Texas,1999,13053000
Utah,1999,1769000
Vermont,1999,434000
Virginia,1999,5215000
Washington,1999,4215000
West Virginia,1999,1164000
Wisconsin,1999,4430000
Wyoming,1999,358000
